angry disgust fear happy neutral sad surprise
0.101 0.194 0.052 0.804 0.994 0.14 0.573
0.099 0.182 0.058 0.72 0.994 0.144 0.645
0.109 0.197 0.053 0.809 0.994 0.157 0.54
0.111 0.205 0.055 0.828 0.992 0.155 0.533
0.114 0.217 0.055 0.855 0.991 0.151 0.519
0.109 0.219 0.056 0.857 0.991 0.153 0.518
0.111 0.195 0.061 0.688 0.993 0.162 0.648
0.106 0.192 0.065 0.727 0.992 0.146 0.656
0.117 0.218 0.056 0.812 0.99 0.157 0.578
0.11 0.201 0.063 0.761 0.99 0.146 0.662
0.102 0.192 0.067 0.738 0.992 0.133 0.678
0.103 0.196 0.067 0.738 0.992 0.133 0.678
0.103 0.202 0.069 0.744 0.991 0.135 0.665
0.085 0.163 0.095 0.804 0.979 0.103 0.826
0.106 0.187 0.079 0.682 0.99 0.143 0.727
0.113 0.181 0.08 0.615 0.991 0.155 0.734
0.105 0.153 0.096 0.57 0.988 0.14 0.822
0.082 0.143 0.149 0.656 0.97 0.101 0.909
0.082 0.175 0.098 0.783 0.983 0.112 0.794
0.081 0.171 0.115 0.761 0.976 0.107 0.848
0.081 0.149 0.135 0.664 0.967 0.109 0.911
0.096 0.184 0.074 0.732 0.989 0.14 0.726
0.112 0.212 0.053 0.753 0.994 0.159 0.561
0.11 0.215 0.047 0.798 0.994 0.152 0.536
0.103 0.198 0.051 0.751 0.995 0.15 0.585
0.112 0.206 0.05 0.789 0.994 0.159 0.516
0.116 0.229 0.044 0.859 0.994 0.171 0.42
0.109 0.233 0.046 0.838 0.994 0.171 0.453
0.124 0.221 0.048 0.763 0.994 0.161 0.515
0.129 0.226 0.047 0.762 0.995 0.17 0.483
0.129 0.227 0.049 0.773 0.994 0.188 0.448
0.13 0.224 0.045 0.772 0.996 0.161 0.453
0.127 0.215 0.046 0.76 0.996 0.16 0.474
0.119 0.225 0.043 0.746 0.995 0.166 0.513
0.124 0.243 0.042 0.825 0.994 0.161 0.434
0.133 0.251 0.044 0.804 0.994 0.176 0.421
0.124 0.225 0.044 0.713 0.995 0.181 0.505
0.139 0.236 0.047 0.767 0.994 0.185 0.453
0.136 0.229 0.048 0.796 0.993 0.163 0.477
0.114 0.233 0.044 0.807 0.995 0.165 0.475
0.115 0.232 0.047 0.838 0.993 0.142 0.52
0.113 0.226 0.046 0.781 0.995 0.169 0.499
0.112 0.225 0.047 0.787 0.995 0.161 0.507
0.107 0.206 0.05 0.772 0.995 0.144 0.552
0.109 0.224 0.051 0.8 0.993 0.148 0.545
0.099 0.199 0.051 0.773 0.994 0.137 0.613
0.093 0.2 0.051 0.858 0.993 0.117 0.597
0.099 0.213 0.05 0.82 0.992 0.15 0.588
0.104 0.189 0.062 0.745 0.992 0.147 0.659
0.111 0.21 0.06 0.76 0.992 0.156 0.604
0.125 0.23 0.064 0.778 0.989 0.162 0.573
0.116 0.243 0.051 0.802 0.993 0.165 0.493
0.12 0.239 0.051 0.76 0.994 0.171 0.495
0.131 0.237 0.055 0.792 0.991 0.174 0.505
0.136 0.245 0.058 0.766 0.991 0.182 0.515
0.126 0.237 0.051 0.85 0.993 0.145 0.47
0.114 0.212 0.055 0.875 0.992 0.127 0.523
0.11 0.213 0.055 0.88 0.991 0.127 0.524
0.11 0.225 0.048 0.879 0.993 0.134 0.479
0.112 0.227 0.047 0.872 0.993 0.134 0.48
0.109 0.214 0.046 0.859 0.994 0.154 0.465
0.112 0.218 0.046 0.86 0.994 0.163 0.444
0.117 0.232 0.043 0.88 0.994 0.134 0.439
0.116 0.229 0.045 0.872 0.994 0.135 0.461
0.117 0.229 0.049 0.864 0.993 0.141 0.476
0.114 0.218 0.049 0.874 0.993 0.133 0.488
0.112 0.213 0.055 0.839 0.992 0.137 0.553
0.117 0.208 0.055 0.839 0.992 0.142 0.54
0.11 0.199 0.049 0.858 0.994 0.134 0.517
0.126 0.208 0.047 0.784 0.995 0.17 0.474
0.118 0.206 0.047 0.83 0.995 0.141 0.493
0.117 0.214 0.045 0.847 0.994 0.142 0.487
0.136 0.221 0.05 0.755 0.994 0.18 0.494
0.136 0.201 0.055 0.716 0.993 0.187 0.543
0.106 0.207 0.046 0.838 0.994 0.143 0.524
0.127 0.199 0.051 0.757 0.994 0.175 0.524
0.121 0.21 0.048 0.817 0.994 0.167 0.496
0.09 0.194 0.05 0.867 0.993 0.124 0.579
0.128 0.238 0.047 0.821 0.993 0.178 0.451
0.085 0.207 0.047 0.914 0.992 0.129 0.521
0.134 0.236 0.051 0.792 0.993 0.19 0.468
0.083 0.186 0.057 0.849 0.991 0.14 0.632
0.084 0.187 0.063 0.835 0.99 0.143 0.659
0.131 0.238 0.043 0.839 0.994 0.187 0.402
0.106 0.241 0.042 0.9 0.992 0.164 0.434
0.119 0.248 0.043 0.867 0.992 0.178 0.436
0.125 0.255 0.046 0.844 0.992 0.182 0.445
0.143 0.264 0.045 0.795 0.994 0.215 0.385
0.133 0.255 0.047 0.833 0.99 0.199 0.452
0.155 0.275 0.051 0.73 0.993 0.239 0.398
0.155 0.263 0.051 0.75 0.993 0.222 0.404
0.113 0.254 0.053 0.867 0.988 0.179 0.485
0.158 0.269 0.047 0.771 0.993 0.209 0.396
0.095 0.24 0.053 0.866 0.988 0.152 0.582
0.129 0.233 0.044 0.884 0.993 0.158 0.422
0.119 0.231 0.046 0.922 0.991 0.144 0.429
0.1 0.212 0.05 0.871 0.992 0.151 0.523
0.103 0.229 0.048 0.872 0.991 0.155 0.516
0.113 0.261 0.048 0.819 0.992 0.175 0.497
0.115 0.246 0.048 0.799 0.993 0.173 0.493
0.109 0.236 0.044 0.85 0.993 0.159 0.492
0.109 0.233 0.043 0.843 0.994 0.158 0.463
0.105 0.233 0.046 0.863 0.993 0.151 0.494
0.11 0.222 0.048 0.827 0.993 0.155 0.508
0.099 0.23 0.051 0.844 0.993 0.155 0.508
0.098 0.228 0.049 0.856 0.993 0.154 0.487
0.1 0.23 0.047 0.866 0.993 0.151 0.477
0.101 0.236 0.044 0.883 0.993 0.146 0.474
0.097 0.229 0.048 0.855 0.993 0.156 0.521
0.098 0.21 0.046 0.869 0.993 0.144 0.522
0.104 0.241 0.043 0.885 0.993 0.151 0.458
0.109 0.207 0.046 0.761 0.995 0.167 0.521
0.102 0.222 0.044 0.861 0.994 0.138 0.497
0.101 0.207 0.048 0.853 0.994 0.141 0.51
0.107 0.198 0.057 0.71 0.994 0.155 0.609
0.103 0.195 0.056 0.753 0.994 0.145 0.607
0.103 0.209 0.046 0.885 0.993 0.14 0.49
0.105 0.21 0.045 0.889 0.993 0.139 0.48
0.103 0.201 0.048 0.84 0.994 0.141 0.523
0.108 0.197 0.047 0.826 0.994 0.14 0.544
0.104 0.199 0.047 0.83 0.995 0.14 0.519
0.103 0.196 0.05 0.803 0.994 0.135 0.596
0.107 0.212 0.044 0.836 0.995 0.14 0.496
0.109 0.214 0.045 0.813 0.995 0.143 0.497
0.11 0.216 0.045 0.802 0.995 0.144 0.512
0.109 0.214 0.045 0.803 0.995 0.142 0.52
0.106 0.22 0.047 0.763 0.994 0.155 0.58
0.103 0.217 0.048 0.778 0.994 0.148 0.594
0.1 0.207 0.049 0.835 0.994 0.133 0.543
0.105 0.21 0.047 0.803 0.994 0.141 0.564
0.105 0.207 0.05 0.791 0.994 0.144 0.587
0.097 0.195 0.053 0.795 0.993 0.132 0.655
0.103 0.194 0.06 0.762 0.992 0.141 0.67
0.104 0.201 0.059 0.768 0.992 0.149 0.639
0.105 0.198 0.055 0.788 0.993 0.15 0.614
0.083 0.182 0.06 0.847 0.992 0.123 0.64
0.087 0.189 0.057 0.855 0.993 0.128 0.596
0.087 0.19 0.056 0.859 0.993 0.128 0.586
0.105 0.202 0.048 0.824 0.993 0.16 0.559
0.095 0.19 0.057 0.816 0.993 0.139 0.602
0.091 0.188 0.058 0.824 0.993 0.136 0.609
0.106 0.21 0.046 0.815 0.994 0.166 0.539
0.111 0.219 0.047 0.795 0.994 0.176 0.514
0.114 0.231 0.048 0.801 0.993 0.184 0.508
0.116 0.226 0.048 0.793 0.994 0.173 0.509
0.117 0.23 0.05 0.768 0.993 0.186 0.535
0.101 0.207 0.055 0.78 0.994 0.157 0.563
0.106 0.225 0.047 0.776 0.994 0.17 0.541
0.107 0.207 0.054 0.757 0.994 0.154 0.57
0.108 0.224 0.046 0.791 0.994 0.172 0.514
0.104 0.215 0.056 0.756 0.994 0.146 0.594
0.112 0.227 0.05 0.757 0.994 0.172 0.538
0.101 0.215 0.057 0.772 0.993 0.142 0.626
0.111 0.228 0.045 0.806 0.995 0.162 0.488
0.115 0.228 0.045 0.79 0.995 0.167 0.484
0.115 0.23 0.045 0.793 0.994 0.166 0.493
0.119 0.226 0.043 0.79 0.995 0.166 0.48
0.125 0.229 0.043 0.789 0.995 0.165 0.462
0.121 0.221 0.04 0.838 0.996 0.153 0.429
0.12 0.219 0.041 0.842 0.995 0.152 0.433
0.101 0.191 0.051 0.805 0.994 0.134 0.592
0.113 0.206 0.042 0.83 0.995 0.151 0.473
0.113 0.209 0.042 0.821 0.995 0.152 0.485
0.113 0.21 0.043 0.817 0.995 0.154 0.5
0.112 0.209 0.043 0.823 0.995 0.154 0.501
0.107 0.202 0.045 0.833 0.995 0.152 0.505
0.095 0.197 0.046 0.867 0.994 0.138 0.525
0.105 0.203 0.045 0.852 0.994 0.153 0.492
0.1 0.194 0.045 0.87 0.994 0.147 0.491
0.1 0.211 0.043 0.872 0.994 0.138 0.492
0.094 0.192 0.043 0.906 0.994 0.127 0.479
0.105 0.214 0.045 0.832 0.995 0.152 0.505
0.096 0.191 0.045 0.894 0.994 0.13 0.503
0.104 0.199 0.046 0.874 0.995 0.147 0.468
0.106 0.203 0.072 0.68 0.991 0.174 0.667
